date,Open,High,Low,Close,Volume,avg-block-size,n-transactions-per-block,n-payments-per-block,transactions-per-second,blocks-size,hash-rate,difficulty,monthly-btc-trend,daily-btc-trend
2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,9346750464.0,1.04830522900763,1322.81679389313,2498.335877862595,2.1506944444444525,156652.542616,18720008.8990056,2874674234415.0,61,53
2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,6784820224.0,1.07619254814815,1317.48148148148,2836.7925925925924,1.9446180555555628,156789.904613,19291612.224166,2874674234415.0,61,44
2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,7780960256.0,1.03479242657343,1271.20979020979,2407.0699300699303,2.101909722222231,156935.095099,20434818.874487,2874674234415.0,61,36
2018-02-11,8616.1298828125,8616.1298828125,7931.10009765625,8129.97021484375,6122189824.0,1.00691915231788,974.887417218543,2043.4569536423842,1.7048611111111176,157083.07799,21578025.5248079,2874674234415.0,61,34
2018-02-12,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,6256439808.0,1.04129159036145,1126.01204819277,2148.9397590361446,1.8461805555555613,157235.205926,23721537.9941597,2874674234415.0,61,37
2018-02-13,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125,5696719872.0,1.03295615853659,1115.75609756098,2076.2865853658536,2.152604166666673,157407.334135,23435736.3315795,2874674234415.0,61,34
2018-02-14,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,7909819904.0,1.01583483240223,1097.30167597765,2044.7206703910615,2.1428819444444516,157577.403619,25579248.8009313,2874674234415.0,61,33
2018-02-15,9488.3203125,10234.7998046875,9395.580078125,10166.400390625,9062540288.0,1.06389496183206,1512.84732824427,2941.885496183206,2.175694444444451,157759.251357,18720008.8990056,2874674234415.0,61,37
2018-02-16,10135.7001953125,10324.099609375,9824.8203125,10233.900390625,7296159744.0,0.989634394904459,1195.78343949045,2175.6815286624205,2.111111111111118,157898.647988,22435430.5125487,2874674234415.0,61,33
2018-02-17,10207.5,11139.5,10149.400390625,11112.7001953125,8660880384.0,0.973017181208054,1166.36912751678,2167.087248322148,2.0670138888888965,158053.999484,21292223.8622277,2874674234415.0,61,32
2018-02-18,11123.400390625,11349.7998046875,10326.0,10551.7998046875,8744009728.0,0.972766672839506,984.537037037037,1942.679012345679,1.846527777777785,158198.564077,23149934.6689992,2874674234415.0,61,32
2018-02-19,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,7652089856.0,1.00658407407407,1156.58641975309,2208.240740740741,1.8032986111111164,158356.571351,23149934.6689992,2874674234415.0,61,31
2018-02-20,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,9926540288.0,1.01084026241135,1407.48226950355,2604.900709219858,2.176215277777785,158519.660286,21079198.6660777,2967853337743.98,61,34
2018-02-21,11372.2001953125,11418.5,10479.099609375,10690.400390625,9405339648.0,0.985094627218935,1214.20710059172,2280.9171597633135,2.339409722222229,158662.18411,25265138.8267172,3007383866429.0,61,34
2018-02-22,10660.400390625,11039.099609375,9939.08984375,10005.0,8040079872.0,0.918956355704698,1229.76510067114,2864.2751677852348,2.215798611111117,158828.660437,22275181.5691176,3007383866429.0,61,32
2018-02-23,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375,7739500032.0,1.00629297297297,1251.30405405405,2347.1486486486488,2.039236111111116,158965.610932,22125683.7062376,3007383866429.0,61,27
2018-02-24,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,6917929984.0,1.02789404137931,1065.75172413793,2069.2827586206895,1.7564236111111182,159114.568128,21677190.1175976,3007383866429.0,61,25
2018-02-25,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,5706939904.0,0.710161315789473,847.187134502924,1761.0409356725147,1.581944444444451,159263.561866,25564134.5524772,3007383866429.0,61,24
2018-02-26,9669.4296875,10475.0,9501.73046875,10366.7001953125,7287690240.0,0.982314460992908,1322.51063829787,2645.6028368794327,2.0975694444444506,159384.300932,21079198.6660777,3007383866429.0,61,26
2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375,6966179840.0,1.01619215,1372.65,2642.68125,2.3862847222222303,159523.483153,23919658.0607974,3007383866429.0,61,27
2018-02-28,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,6936189952.0,1.0542164,1220.7935483871,2605.5225806451613,2.4208333333333383,159686.10381,23172168.7463975,3007383866429.0,61,25
